date,region,cases
07/03/2020,KS,6.879258485246048
14/03/2020,KS,5.196275147554348
21/03/2020,KS,4.279614976267248
28/03/2020,KS,2.0916119025682245
04/04/2020,KS,0.9774586604984724
11/04/2020,KS,0.5003408688223356
18/04/2020,KS,0.40039410257673536
25/04/2020,KS,0.3644083578615791
02/05/2020,KS,0.0649269179650657
09/05/2020,KS,0.07605501044110935
16/05/2020,KS,0.0446154777575413
23/05/2020,KS,0.1162640740025531
30/05/2020,KS,0.15582788939338257
06/06/2020,KS,0.02934592543281056
13/06/2020,KS,0.12169589741809289
20/06/2020,KS,0.2095556252377308
27/06/2020,KS,0.11732872924354928
04/07/2020,KS,0.061372531403920225
11/07/2020,KS,0.4373683562088223
18/07/2020,KS,0.36215616629617237
25/07/2020,KS,0.40099213988191523
01/08/2020,KS,0.23632301344916146
08/08/2020,KS,0.17450816759259904
15/08/2020,KS,
22/08/2020,KS,
29/08/2020,KS,
05/09/2020,KS,
12/09/2020,KS,0.0
19/09/2020,KS,0.0
26/09/2020,KS,0.0
03/10/2020,KS,0.0
04/01/2020,KY,0.0
11/01/2020,KY,0.0
18/01/2020,KY,0.0
25/01/2020,KY,0.0
01/02/2020,KY,0.0
08/02/2020,KY,0.0
15/02/2020,KY,0.0
22/02/2020,KY,5.81943929778889
29/02/2020,KY,5.664299679958036
07/03/2020,KY,6.087657886513579
14/03/2020,KY,5.4593226224498945
21/03/2020,KY,5.616224140007563
28/03/2020,KY,2.6511039758569717
04/04/2020,KY,1.464318177710843
11/04/2020,KY,1.2177908750354391
18/04/2020,KY,0.6235631616737123
25/04/2020,KY,0.5320570042422645
02/05/2020,KY,0.43329548754326114
09/05/2020,KY,0.08944193536440646
16/05/2020,KY,0.11056837760234006
23/05/2020,KY,0.29125083514954087
30/05/2020,KY,0.26844876147344326
06/06/2020,KY,0.08838183889305083
13/06/2020,KY,0.048173226343488064
20/06/2020,KY,0.08841353364699034
27/06/2020,KY,0.035486362178073674
04/07/2020,KY,0.13547518943122216
11/07/2020,KY,0.27382645647208737
18/07/2020,KY,0.5586376039635567
25/07/2020,KY,0.2857833595200305
01/08/2020,KY,0.3134416730008562
08/08/2020,KY,0.29321013367343357
15/08/2020,KY,
22/08/2020,KY,
29/08/2020,KY,
05/09/2020,KY,
12/09/2020,KY,0.0
19/09/2020,KY,0.0
26/09/2020,KY,0.0
03/10/2020,KY,0.0
04/01/2020,LA,0.0
11/01/2020,LA,0.0
18/01/2020,LA,0.0
25/01/2020,LA,0.0
01/02/2020,LA,0.0
08/02/2020,LA,0.0
15/02/2020,LA,0.0
22/02/2020,LA,5.791794838320028
29/02/2020,LA,5.301762897773989
07/03/2020,LA,6.027353507427344
14/03/2020,LA,5.246506567473544
21/03/2020,LA,4.66113597410603
28/03/2020,LA,3.6100573835590524
04/04/2020,LA,1.7638801774098471
11/04/2020,LA,0.933614795690478
18/04/2020,LA,0.7144311382285158
25/04/2020,LA,0.4033192445766338
02/05/2020,LA,0.12817688074530673
09/05/2020,LA,0.14141157262824258
16/05/2020,LA,0.21019899240484527
23/05/2020,LA,0.45213093086802125
30/05/2020,LA,0.2860431717411521
06/06/2020,LA,0.31421082911551984
13/06/2020,LA,0.617011475561892
20/06/2020,LA,0.45622282195590463
27/06/2020,LA,0.3785542211317009
04/07/2020,LA,0.6131709325667395
11/07/2020,LA,1.0017960893400704
18/07/2020,LA,0.9656796259258096
