date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2021-05-01,202117,OK,40,2.2857142857142856,6.285714285714286,42.285714285714285,12.285714285714286,-16.142857142857142,3.0,151.63142857142856,272.0,4.0,1529653.0,1114410.0,79.60142524285713,9.403075399999999,,,,,734.3333333333334,0.0,6788.0,72.0,1.5759135285714283,1.5776944999999996,448305.0,1755.0,19983.0,1433.0,21421.0
2021-05-08,202118,OK,40,5.0,11.571428571428571,54.142857142857146,13.0,-16.142857142857142,2.142857142857143,155.8271428571429,206.0,15.0,1556613.0,1160474.0,69.73831997142858,1.5065783285714287,,,,,812.6666666666666,40.666666666666664,6832.0,44.0,0.8894374714285714,0.8933050428571429,449648.0,1343.0,19251.0,1269.0,20527.0
2021-05-15,202119,OK,40,3.0,9.714285714285714,41.142857142857146,15.0,-17.0,2.7142857142857144,155.17142857142858,211.0,7.0,1580832.0,1197390.0,68.85805781428571,9.638662642857142,,,,,777.0,16.0,6878.0,46.0,0.893663642857143,0.8987514714285715,450847.0,1199.0,19151.0,907.0,20067.0
2021-05-22,202120,OK,40,1.7142857142857142,7.428571428571429,30.571428571428573,14.142857142857142,-17.285714285714285,3.5714285714285716,154.59857142857143,230.0,8.0,1615092.0,1226404.0,70.1194625142857,0.8555266571428571,,,,,779.3333333333334,14.333333333333334,6918.0,40.0,0.6168717857142857,0.6405396571428572,451830.0,983.0,18007.0,1081.0,19098.0
2021-05-29,202121,OK,40,2.4285714285714284,9.285714285714286,49.714285714285715,19.571428571428573,-19.857142857142858,3.5714285714285716,161.06571428571428,230.0,20.0,1639203.0,1245827.0,72.19190462857144,6.510862757142856,,,,,740.0,0.0,7291.0,373.0,0.6958944285714286,0.7106776,452777.0,947.0,15937.0,864.0,16811.0
2021-06-05,202122,OK,40,3.7142857142857144,11.285714285714286,65.71428571428571,18.857142857142858,-26.0,4.857142857142857,164.49428571428572,179.0,10.0,1655225.0,1260229.0,70.8274463,12.022962157142857,,,,,750.0,0.0,7316.0,25.0,0.7353888571428572,0.7677229999999999,453552.0,775.0,13917.0,724.0,14645.0
2021-06-12,202123,OK,40,4.571428571428571,11.714285714285714,65.0,20.285714285714285,-19.714285714285715,3.142857142857143,169.86714285714285,166.0,11.0,1674803.0,1284241.0,69.75923329999999,3.938423157142857,,,,,826.0,72.0,7325.0,9.0,0.9662938714285714,0.9194837142857142,454394.0,842.0,14838.0,936.0,15783.0
2021-06-19,202124,OK,40,5.0,11.142857142857142,68.71428571428571,21.571428571428573,-20.428571428571427,2.7142857142857144,169.82285714285717,163.0,6.0,1740511.0,1377972.0,69.6850525,,,,,,821.6666666666666,70.66666666666667,7354.0,29.0,0.5487538714285715,0.6056539428571429,455535.0,1141.0,13642.0,1117.0,14771.0
2021-06-26,202125,OK,40,3.4285714285714284,6.571428571428571,60.285714285714285,18.857142857142858,-20.571428571428573,3.0,166.3114285714286,231.0,6.0,1763187.0,1405446.0,72.40211787142857,,,,,,774.3333333333334,30.333333333333332,7384.0,30.0,1.0211521571428572,0.9596481142857143,456910.0,1375.0,14405.0,1314.0,15733.0
2021-07-03,202126,OK,40,3.5714285714285716,8.714285714285714,42.0,20.142857142857142,-21.571428571428573,3.4285714285714284,160.09142857142857,285.0,5.0,1783425.0,1433466.0,82.35038807142857,11.543736914285715,,,,,795.3333333333334,48.333333333333336,7388.0,4.0,1.210836357142857,1.3196155857142857,458483.0,1573.0,13584.0,1798.0,15405.0
